Name	Raw 0	Raw 1	Raw 2	Raw 3	Raw 4	Raw 5	Raw 6	Raw 7	Raw 8	Raw 9	Raw 10	Raw 11
A204 Barasertib 2	1	1.0394	1.0625	1.0758	1.0454	0.9855	0.9384	0.8863	0.8321	0.731	0.4577	0.3952
A204 Barasertib 3	1	1.034	1.0071	1.0451	1.0497	0.9926	0.8478	0.7986	0.7603	0.7096	0.4572	0.3539
A204 Baricitinib 1	1	1.0993	1.0581	1.0542	1.0729	1.0361	1.0181	1.0403	0.9933	1.0237	0.9341	0.8451
A204 Baricitinib 2	1	1.071	1.0659	1.0781	1.0771	1.0485	1.0601	0.9968	0.9932	0.9218	0.8885	0.8224
A204 Baricitinib 3	1	0.9966	0.9977	1.0187	1.0	1.014	1.0347	1.0213	1.0313	0.9681	0.9809	0.8223
A204 Belizatinib 1	1	1.1186	1.1677	1.1455	1.1013	1.0961	1.1341	1.0974	1.0524	1.0556	0.7139	0.4381
A204 Belizatinib 2	1	1.0918	1.059	1.0927	1.0614	1.084	1.0459	1.0496	1.0153	0.8884	0.7179	0.304
A204 Belizatinib 3	1	1.0819	1.0906	1.0827	1.0772	1.0948	1.0852	1.0929	1.0726	1.0083	0.7479	0.3422
A204 Binimetinib 1	1	1.0755	1.0433	1.054	1.0605	1.0436	1.0084	0.9944	0.9344	0.9418	0.8763	0.7232
A204 Binimetinib 2	1	1.0435	1.0389	1.0702	1.05	1.0584	1.0664	1.037	0.9381	0.8965	0.9454	0.729
A204 Binimetinib 3	1	1.0135	1.0921	1.0649	1.0868	1.0283	0.9824	1.0325	0.937	0.9285	0.8841	0.6861
A204 Bosutinib 1	1	1.1162	1.1281	1.0442	1.0938	1.1459	1.2032	1.22	1.1727	1.1161	0.7297	0.2135
A204 Bosutinib 2	1	1.0984	1.1365	1.1694	1.1885	1.2075	1.2277	1.2465	1.2855	1.099	0.9014	0.2798
A204 Bosutinib 3	1	1.0414	1.0983	1.0519	1.1177	1.143	1.2049	1.2194	1.1594	1.1171	0.7885	0.2851
A204 Brigatinib 1	1	1.0777	1.0457	1.0332	1.079	1.0754	0.9792	1.0518	1.0333	0.7208	0.2925	0.012
A204 Brigatinib 2	1	1.0642	1.1224	1.041	1.0726	1.0396	1.1274	1.153	1.0238	0.6593	0.2662	0.0174
A204 Brigatinib 3	1	1.0415	1.079	1.0133	1.0379	1.016	0.9889	0.9718	0.917	0.697	0.2285	0.0111
A204 Brivanib 1	1	1.0803	1.0411	1.024	1.1526	1.1386	1.1056	1.0228	1.0141	0.9802	1.0087	0.6298
A204 Brivanib 2	1	1.0434	1.0354	0.9913	1.0149	1.0361	1.0107	1.0307	1.0334	0.9805	0.8774	0.639
A204 Brivanib 3	1	1.0276	1.0294	1.0469	1.0454	1.0005	0.9728	0.9719	0.9773	0.9991	0.964	0.6578
A204 Brivanib_alaninate 1	1	1.0589	1.0307	1.0251	1.0772	1.0603	1.0234	1.0309	1.0116	0.9792	0.9114	0.5275
A204 Brivanib_alaninate 2	1	1.0467	0.998	1.0488	1.0953	1.0512	1.0671	1.0751	1.1025	0.9193	0.9373	0.608
A204 Brivanib_alaninate 3	1	1.0431	1.1073	1.1251	1.1711	1.1237	1.0399	0.9702	1.0316	1.0982	1.0246	0.5665
A204 Buparlisib 1	1	1.0728	1.0401	1.0799	1.0308	0.9576	0.9921	0.903	0.6695	0.3616	0.1689	0.1642
A204 Buparlisib 2	1	1.0457	1.0056	1.0157	1.0039	1.0309	0.9895	0.8641	0.6636	0.256	0.1737	0.1522
A204 Buparlisib 3	1	1.027	1.043	1.0495	1.0168	1.0878	1.0562	0.8688	0.6852	0.3776	0.1804	0.1474
A204 Cabozantinib 1	1	1.0934	1.1807	1.1471	1.1077	0.9786	0.859	0.466	0.4039	0.3713	0.3384	0.2315
A204 Cabozantinib 2	1	1.0421	1.0482	1.009	1.0387	0.9761	0.7582	0.4271	0.3614	0.3513	0.3141	0.2316
A204 Cabozantinib 3	1	0.988	1.0611	1.0387	1.0384	0.9658	0.7391	0.3899	0.3683	0.3001	0.2833	0.2245
A204 Capmatinib 1	1	1.1296	1.0755	1.1134	1.1086	1.1123	1.0555	1.085	1.0116	1.0263	0.9868	0.8219
A204 Capmatinib 2	1	1.0869	1.0503	1.0389	1.061	1.0391	1.0485	1.0922	1.0679	1.0232	0.9282	0.7517
A204 Capmatinib 3	1	1.0734	1.0872	1.0997	1.0808	1.0558	1.0766	1.1221	1.1187	1.0715	1.0359	0.7879
A204 Cediranib 1	1	1.0971	1.0756	1.0304	1.0588	0.9487	0.9847	0.4644	0.343	0.2755	0.1863	0.0087
A204 Cediranib 2	1	1.0819	1.0734	1.1533	1.1028	0.9593	0.8144	0.4475	0.3403	0.2216	0.1844	0.0104
A204 Cediranib 3	1	1.0795	1.0455	1.063	1.095	1.0428	0.847	0.4593	0.3255	0.2562	0.1767	0.0084
A204 Ceritinib 1	1	1.1134	1.1509	1.1092	1.0996	1.0802	1.0648	1.0741	1.0454	1.0102	0.4675	0.0019
A204 Ceritinib 2	1	1.0404	1.0704	1.094	1.1057	1.0935	1.0664	1.0765	1.0815	0.8698	0.1659	0.0003
A204 Ceritinib 3	1	0.9834	0.9903	1.0279	1.0049	1.0229	1.0352	1.0224	0.9969	0.9046	0.3675	0.0014
A204 Certican 1	1	0.9601	0.8422	0.7276	0.6537	0.5844	0.5675	0.5542	0.5421	0.4925	0.5047	0.4319
A204 Certican 2	1	0.9122	0.7632	0.5911	0.5097	0.5376	0.472	0.4593	0.4772	0.4828	0.4479	0.4583
A204 Certican 3	1	0.8841	0.7725	0.6521	0.6944	0.6515	0.511	0.4798	0.436	0.4868	0.3975	0.3987
A204 Cobimetinib 1	1	1.1409	1.136	1.1043	1.088	1.0696	1.0605	0.9905	0.7271	0.5823	0.3965	0.0101
A204 Cobimetinib 2	1	1.0963	1.0892	1.1083	1.1092	1.0854	1.0393	1.0041	0.823	0.6156	0.4667	0.0095
A204 Cobimetinib 3	1	1.066	1.0953	1.1573	1.1357	1.083	1.0317	1.0425	0.8696	0.6492	0.4098	0.0111
A204 Copanlisib 1	1	1.0783	1.0606	0.95	0.774	0.621	0.5265	0.4526	0.3394	0.2763	0.2489	0.2461
A204 Copanlisib 2	1	1.061	1.0494	0.9264	0.6741	0.5805	0.4298	0.3914	0.3222	0.28	0.2435	0.2162
A204 Copanlisib 3	1	1.0118	0.9349	0.9036	0.6849	0.5471	0.4857	0.354	0.2865	0.2468	0.2129	0.1713
A204 Crenolanib 1	1	1.0884	1.0585	1.0926	0.9991	1.0408	0.8802	0.652	0.4766	0.4236	0.3856	0.0214
A204 Crenolanib 2	1	1.0879	1.111	1.0977	1.0872	1.0405	0.7362	0.5671	0.4449	0.3722	0.2705	0.0163
A204 Crenolanib 3	1	1.0798	1.0327	1.0626	1.061	0.9417	0.8415	0.5632	0.4501	0.4144	0.3214	0.0102
A204 Crizotinib 1	1	1.1174	1.1008	1.0989	1.0914	1.1166	1.0675	1.0382	0.9793	0.8176	0.6049	0.0149
A204 Crizotinib 2	1	1.0728	1.0305	1.0454	1.0711	1.0896	1.0884	1.0952	0.9107	0.7268	0.5364	0.0069
A204 Crizotinib 3	1	1.028	1.0276	1.1075	1.0921	1.0983	1.1175	1.0956	0.9992	0.9252	0.5887	0.0151
A204 Dabrafenib 1	1	1.0496	1.0636	1.0663	1.0456	1.0666	1.0272	1.0565	0.8872	0.7615	0.7356	0.7106
A204 Dabrafenib 2	1	1.0422	1.0416	1.0167	1.0286	1.0256	0.9298	0.8827	0.8411	0.7699	0.6851	0.5743
A204 Dabrafenib 3	1	0.9149	1.0126	1.0339	1.0544	1.0697	0.9761	0.8754	0.8006	0.7485	0.6495	0.5556
A204 Dacomitinib 1	1	1.1183	1.0654	1.0838	1.1107	1.0447	1.148	1.0806	0.9288	0.7388	0.2768	0.0136
A204 Dacomitinib 2	1	1.1176	1.1429	1.1269	1.065	1.0178	1.047	1.0302	0.9934	0.7494	0.3938	0.0163
A204 Dacomitinib 3	1	1.0539	1.0482	1.067	1.0571	1.0484	1.0286	1.0586	1.0105	0.7658	0.3106	0.0117
A204 Dactinomycin 1	1	1.1116	1.0661	0.7072	0.4109	0.2474	0.2281	0.1909	0.1885	0.1698	0.1662	0.1661
A204 Dactinomycin 2	1	0.9717	0.9345	0.5751	0.3717	0.265	0.1989	0.16	0.2189	0.1619	0.1658	0.1799
A204 Dactinomycin 3	1	0.9632	0.9705	0.6399	0.3953	0.3182	0.2755	0.2272	0.1942	0.1751	0.1519	0.1574
A204 Dasatinib 1	1	1.1519	1.1122	1.1142	1.1237	0.8863	0.5441	0.3957	0.3788	0.3906	0.326	0.2888
A204 Dasatinib 2	1	1.0617	1.005	0.9777	1.0065	0.811	0.4593	0.3643	0.3328	0.3124	0.2894	0.2888
A204 Dasatinib 3	1	1.024	1.0012	1.078	0.9442	0.7931	0.4991	0.3678	0.3573	0.3638	0.3262	0.2651
A204 Dinaciclib 1	1	1.0217	1.0091	0.9852	0.8702	0.4773	0.3277	0.3081	0.2125	0.1762	0.1873	0.1953
A204 Dinaciclib 2	1	1.0082	0.979	0.985	0.9851	0.4879	0.2636	0.2165	0.1867	0.1946	0.1707	0.1559
A204 Dinaciclib 3	1	0.9627	1.0775	0.9792	0.8846	0.4813	0.1493	0.1818	0.1985	0.1901	0.1792	0.1876
A204 Dovitinib 1	1	1.1203	1.095	1.0648	1.1114	0.9703	1.0078	0.8779	0.7973	0.4036	0.0934	0.0176
A204 Dovitinib 2	1	1.1203	1.0549	1.1258	1.0732	1.0719	1.0919	1.0222	0.7773	0.3649	0.0793	0.0119
A204 Dovitinib 3	1	1.0663	1.0342	0.9986	1.0199	0.9979	0.9872	0.8216	0.7399	0.2976	0.0716	0.0134
A204 Doxorubicin_Hydrochloride 1	1	1.0803	1.0979	1.0461	0.9158	0.8266	0.6372	0.3402	0.1604	0.1287	0.111	0.1009
A204 Doxorubicin_Hydrochloride 2	1	1.0572	1.1088	1.0407	0.9303	0.6596	0.5077	0.3239	0.1118	0.1261	0.139	0.139
A204 Doxorubicin_Hydrochloride 3	1	1.0535	1.0005	1.0342	0.9759	0.8495	0.5352	0.2792	0.1396	0.1298	0.1202	0.1144
A204 Duvelisib 1	1	1.1132	1.1212	1.0755	1.095	1.1054	1.0787	1.0447	0.914	0.7715	0.5697	0.4123
A204 Duvelisib 2	1	1.1003	1.1022	1.0442	1.0978	1.0746	1.0547	0.9554	0.8981	0.7841	0.5559	0.4357
A204 Duvelisib 3	1	1.0719	1.046	1.0834	1.0946	1.0561	1.0569	1.0252	0.912	0.728	0.5404	0.4875
A204 Edicotinib 1	1	1.1075	1.094	1.0069	1.0272	1.0899	1.0324	0.9911	1.0104	1.0276	1.0536	1.0785
A204 Edicotinib 2	1	1.1044	1.0841	1.1305	1.085	1.1162	1.1462	1.085	1.1407	1.0957	1.1214	1.1079
A204 Edicotinib 3	1	1.0228	1.0049	1.0304	1.0462	1.0225	0.9983	1.022	1.0007	0.9948	1.0439	1.0469
A204 Enasidenib 1	1	1.1364	1.0775	1.1486	1.0538	1.1198	1.091	1.1295	1.1482	1.1829	1.0254	0.7277
A204 Enasidenib 2	1	1.1221	1.1242	1.0926	1.084	1.079	1.1204	1.1029	1.1047	1.0411	0.9249	0.7259
A204 Enasidenib 3	1	1.0971	1.0393	1.0889	1.0903	1.1153	1.1218	1.0539	1.0824	1.0939	1.0199	0.7158
A204 Encorafenib 1	1	1.0616	1.0371	1.0755	1.0445	1.0029	0.9788	1.0545	1.0264	0.8718	0.6605	0.5922
A204 Encorafenib 2	1	0.9832	1.0164	0.9872	1.0057	1.0071	1.0189	1.0043	0.9205	0.7918	0.5652	0.5718
A204 Encorafenib 3	1	0.925	0.919	0.9375	0.8959	0.9078	0.9668	0.9447	0.9325	0.8514	0.5804	0.5591
A204 Ensartinib 1	1	1.0782	1.0852	1.0661	1.0488	1.0636	1.0752	1.0723	1.0821	0.9588	0.818	0.3787
A204 Ensartinib 2	1	1.0665	1.0754	1.0905	1.0464	1.066	1.0838	1.0634	1.0965	0.9685	0.7477	0.2721
A204 Ensartinib 3	1	1.063	1.0631	1.0196	1.0546	1.0138	0.9847	0.9755	0.9937	1.014	0.8512	0.3274
A204 Entrectinib 1	1	1.1193	1.146	1.0957	1.1307	1.1364	1.084	1.0822	1.1326	1.0885	0.8714	0.2274
A204 Entrectinib 2	1	1.0318	1.0615	0.9946	1.0142	1.0646	1.0038	0.967	1.0206	1.0565	0.7904	0.1149
A204 Entrectinib 3	1	1.0057	0.9669	1.0192	1.0377	1.0706	1.0204	1.0254	0.9905	0.9658	0.9345	0.3409
A204 Enzastaurin 1	1	1.0933	1.087	1.1817	1.2211	1.1361	1.1211	1.0519	1.0882	1.0199	1.056	0.9008
A204 Enzastaurin 2	1	1.0613	1.1602	1.0805	1.0934	1.1001	1.0361	1.0598	1.1158	1.1399	1.1145	0.951
A204 Enzastaurin 3	1	1.052	1.131	1.1223	1.0493	1.0928	1.0658	1.0927	1.093	1.0955	1.0754	0.8674
A204 Erdafitinib 1	1	1.0659	1.0398	1.0066	0.9377	0.6837	0.5531	0.4747	0.2556	0.1954	0.1244	0.0352
A204 Erdafitinib 2	1	1.0488	1.0215	0.9704	0.8747	0.7767	0.6419	0.4491	0.4171	0.1919	0.1406	0.0475
A204 Erdafitinib 3	1	1.0013	1.0216	0.9371	0.9884	0.7774	0.5902	0.3436	0.2924	0.1946	0.1147	0.0424
A204 Erlotinib 1	1	1.1298	1.1709	1.1276	1.1678	1.06	1.1133	1.1445	1.1663	1.024	0.7422	0.5863
A204 Erlotinib 2	1	1.0672	1.1274	1.1156	1.1284	1.1162	1.1376	1.0543	1.0646	1.009	0.865	0.5249
A204 Erlotinib 3	1	0.9771	1.0879	1.0413	0.9883	1.0235	1.0557	1.0695	1.0294	1.0032	0.8592	0.5268
A204 Evobrutinib 1	1	1.1638	1.2129	1.1978	1.1507	1.1171	1.0851	1.0488	1.091	1.0246	1.0092	0.9078
A204 Evobrutinib 2	1	1.0657	1.087	1.0512	1.0411	0.9847	1.0268	0.9917	0.9639	1.0538	0.9973	0.8345
A204 Evobrutinib 3	1	1.0646	1.1782	1.2172	1.1521	0.9645	1.0373	1.1844	1.0768	1.1363	1.0407	0.8705
A204 Fasudil 1	1		1.0137	1.0574	1.0729	1.0526	0.9842	0.973	1.0038	0.9626	0.9062	0.9355
A204 Fasudil 2	1		0.9685	1.0223	0.9877	0.9645	0.9944	1.0113	1.0256	1.035	0.9938	0.8991
A204 Fasudil 3	1		0.9579	1.014	0.9963	1.0332	1.0397	0.9774	1.0085	0.9768	1.0191	0.8371
A204 Fedratinib 1	1	1.1231	1.0724	1.1721	1.1217	1.1056	0.9949	0.9431	0.6321	0.3668	0.1374	0.0152
A204 Fedratinib 2	1	1.092	1.0946	1.1357	1.0712	1.0994	1.0551	1.0093	0.6967	0.4608	0.1398	0.0158
A204 Fedratinib 3	1	0.9963	1.0509	1.0897	1.0557	1.0743	0.999	0.9571	0.807	0.3604	0.1117	0.0127
A204 Filgotinib 1	1	1.0996	1.1406	1.093	1.0571	1.0957	1.1845	1.1812	1.0666	1.0935	1.1268	1.0918
A204 Filgotinib 2	1	1.0981	1.1284	1.0537	1.0764	0.9765	1.1043	1.0581	1.0615	1.1203	1.0921	0.9115
A204 Filgotinib 3	1	1.0784	1.1791	1.0775	1.0715	1.1163	1.1387	1.1654	1.1699	1.1518	1.2071	0.9188
A204 Fostamatinib 1	1	1.0759	1.0444	1.0774	1.1236	1.0947	1.0401	0.958	0.7643	0.5082	0.2188	0.0746
A204 Fostamatinib 2	1	1.0756	1.061	1.0368	1.0217	1.0163	0.9993	0.9699	0.7403	0.4401	0.2218	0.0744
A204 Fostamatinib 3	1	1.0553	1.1272	1.1031	1.0794	1.104	1.0232	0.9353	0.7846	0.5336	0.2663	0.061
A204 Fruquintinib 1	1	1.0901	1.0774	1.0557	1.0711	1.0315	1.0572	0.986	0.7493	0.3875	0.2974	0.2752
A204 Fruquintinib 2	1	1.0421	1.115	1.0112	1.0292	1.0792	1.0031	0.9854	0.7111	0.4054	0.3266	0.2216
A204 Fruquintinib 3	1	1.0333	1.079	1.077	1.0603	1.0825	0.9363	0.9306	0.7297	0.4346	0.3371	0.2766
A204 GSK-3145095 1	1	1.1426	1.1112	1.1218	1.0827	1.1279	1.1176	1.1149	1.151	1.1784	1.0755	1.0144
A204 GSK-3145095 2	1	1.135	1.1036	1.1175	1.1594	1.1502	1.1208	1.1139	1.1558	1.1279	1.1466	1.1589
A204 GSK-3145095 3	1	1.0871	1.1272	1.1149	1.1312	1.1379	1.0953	1.1321	1.1724	1.1464	1.1556	1.1719
A204 Galunisertib 1	1	1.0394	1.0591	1.0077	0.9911	0.9831	1.0208	0.9262	0.9922	0.9512	1.0492	0.9053
A204 Galunisertib 2	1	1.0037	1.0546	0.9981	1.063	0.9404	0.9662	1.0474	1.0805	1.05	0.9203	0.9941
A204 Galunisertib 3	1	1.0017	1.0092	0.9638	1.0361	1.028	1.0155	1.0545	0.9909	0.9866	1.0187	0.9101
A204 Gefitinib 1	1	1.0762	1.0908	1.0966	1.0545	1.0609	1.0988	1.0274	1.0661	0.9215	0.8186	0.41
A204 Gefitinib 2	1	1.0752	1.11	1.0541	1.0417	1.0666	1.0265	1.0667	1.0147	1.0717	0.8495	0.4445
A204 Gefitinib 3	1	1.0283	1.0528	1.1284	1.0747	1.0282	1.1612	1.2009	1.0016	1.118	0.961	0.4906
A204 Glasdegib 1	1	1.0979	1.0746	1.0907	1.0887	1.1128	1.0748	1.0697	1.0611	1.0623	0.9764	0.9829
A204 Glasdegib 2	1	1.0821	1.0706	1.1197	1.0226	1.0792	1.0552	1.0683	1.0169	1.0641	1.0742	1.0705
A204 Glasdegib 3	1	1.0286	1.0777	1.0656	1.0823	1.0643	1.0362	1.0528	1.06	1.0084	0.9949	0.8706
A204 Hydroxyfasudil 1	1	1.1454	1.1292	1.1878	1.1239	1.1112	1.1041	1.1515	1.001	1.0622	1.041	1.0425
A204 Hydroxyfasudil 2	1	1.0652	1.1467	1.0763	1.1295	1.1512	1.1413	1.116	1.1174	1.0474	1.0303	0.9542
A204 Hydroxyfasudil 3	1	1.0301	1.0354	1.1078	1.0593	1.0695	1.0708	1.0519	1.0615	1.0229	1.0669	0.9408
A204 Ibrutinib 1	1	1.0468	1.1848	1.1022	1.1279	1.0947	1.118	1.1774	1.0887	1.0129	1.0322	0.5007
A204 Ibrutinib 2	1	1.0215	0.9884	1.0158	1.0591	0.9999	1.0943	0.9938	1.0882	1.014	0.9978	0.5236
A204 Ibrutinib 3	1	1.0087	1.0027	0.9943	1.0116	1.0414	1.0505	1.0469	1.0436	0.9965	0.7862	0.5519
A204 Icotinib 1	1	1.1366	1.0493	1.1182	1.1131	1.0723	1.0893	1.1103	1.0616	0.948	0.9013	0.9082
A204 Icotinib 2	1	1.099	1.0832	1.1501	1.1595	1.0742	1.1654	1.1478	1.1322	0.9593	0.9668	0.8226
A204 Icotinib 3	1	0.9734	1.119	1.0506	1.1262	1.0676	1.1198	0.9981	1.007	0.9932	0.9716	0.9007
A204 Idelalisib 1	1	1.0951	1.1509	1.1302	1.1495	1.1559	1.0995	1.0117	1.0419	1.0463	0.8236	0.6471
A204 Idelalisib 2	1	1.0887	1.0858	1.1073	1.0854	0.999	1.0638	1.0565	1.0239	0.9571	0.8292	0.601
A204 Idelalisib 3	1	1.0528	1.0693	1.0664	1.0597	1.0405	1.0175	1.0279	1.0008	0.9156	0.8515	0.5823
A204 Imatinib 1	1	1.0542	1.0455	1.0396	1.041	1.0123	0.9293	0.8504	0.4525	0.4426	0.3507	0.2065
A204 Imatinib 2	1	1.0341	1.0003	1.0214	0.9792	0.9476	0.8285	0.6637	0.5377	0.3905	0.2861	0.2009
A204 Imatinib 3	1	0.9385	0.9759	0.9183	0.9512	0.8895	0.8516	0.7005	0.4815	0.3344	0.2983	0.1798
A204 Ipatasertib 1	1	1.0795	1.0335	1.0101	1.0376	1.0169	1.0099	0.9556	0.7558	0.7238	0.6381	0.5381
A204 Ipatasertib 2	1	1.0553	1.113	1.0733	1.04	1.0951	0.9789	0.9318	0.724	0.7357	0.5918	0.5313
A204 Ipatasertib 3	1	1.0398	1.1024	1.0766	1.0647	1.0487	0.9869	0.9723	0.774	0.6733	0.6334	0.4564
A204 Itacitinib 1	1	1.0446	1.0364	1.0565	1.0714	1.0776	1.0415	1.0191	0.9571	1.0109	0.9609	0.8778
A204 Itacitinib 2	1	1.0208	1.0158	1.0124	0.9788	1.0132	1.0166	0.9862	0.9727	0.9535	0.9511	0.8114
