Genes	Proteins	N duplicates	Score	Raw DMSO	Raw 3nM	Raw 10nM	Raw 30nM	Raw 100nM	Raw 300nM	Raw 1000nM	Raw 3000nM	Raw 30000nM	Peptides	Name	Imputation N	Imputation Position	Ratio DMSO	Ratio 3nM	Ratio 10nM	Ratio 30nM	Ratio 100nM	Ratio 300nM	Ratio 1000nM	Ratio 3000nM	Ratio 30000nM	Signal Quality	pEC50	Curve Slope	Curve Front	Curve Back	Curve Fold Change	Curve AUC	Curve RMSE	Curve R2	pEC50 Error	Curve Slope Error	Curve Front Error	Curve Back Error	Null Model	Null RMSE	Curve F_Value	Curve P_Value	Curve Log P_Value	Curve F_Value SAM Corrected	Curve Relevance Score	Curve Regulation
ACOT7	O00154	1	10.115	963994	963994	963994	963994	963994	963994	963994	5288200	7525400	7	ACOT7	7	DMSO;3nM;10nM;30nM;100nM;300nM;1000nM	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.485718790780855	7.806480123320269	19.87866464143439	5.643595234628142	2.9654553757507616	0.9542649737672504	7.28112438983224	2.9311042724126573	2.727028863731732	0.24129798162808133	0.9899769336350501	0.04410930620009067	0.7116390392259001	0.13365687588202932	0.3251423097768741	2.6063675228747836	2.435723737097281	227.0115354628158	5.5104666971035e-06	5.258811617955186	39.651179862947195	3.3524614467319522	up
ACOX1	Q15067	1	25.505	963994	963994	5581000	963994	963994	5022200	963994	963994	963994	6	ACOX1	7	DMSO;3nM;30nM;100nM;1000nM;3000nM;30000nM	1.0	1.0	5.789455121089965	1.0	1.0	5.209783463382553	1.0	1.0	1.0	19.87866464143439	6.110326740763799	10.0	2.68873410160529	0.9778778308648354	-1.4592009476255148	2.009760262218478	1.7445045628708584	0.13495428726788194	183.36233448682054	16619.37195546117	1.0466956732636379	1.6551427144388948	2.038373682823752	1.8760475973882513	0.35211211141124027	0.9328555082359049	0.030185619742741768	0.28568934086641046	0.015498029190657674	
ACOX3	O15254	1	323.31	280990000	217040000	227830000	285780000	197090000	285130000	267690000	203080000	250410000	42	ACOX3	0		1.0	0.772411829602477	0.8108117726609488	1.0170468699953734	0.701412861667675	1.0147336204135378	0.9526673547101321	0.7227303462756681	0.8911705042884088	28.065943547171	5.777762920659199	10.0	0.8857681640469179	0.8069558643120601	-0.13443937652145965	0.8610430871062955	0.11456785501971432	0.088327727575092	21.506272980100576	947.7635942557205	0.06275152874020999	0.15370890715186944	0.8627332754792807	0.12070840010391934	0.24765207836282005	0.9794912797451393	0.00899942610663635	0.061731740283012926	-0.0	
ACP1	P24666	1	24.486	8769900	3477600	7335700	7549700	7251400	10018000	8244200	8416000	9464800	7	ACP1	0		1.0	0.3965381589299764	0.8364633576209535	0.8608650041619631	0.826850933305967	1.1423163319992247	0.9400563290345386	0.9596460620987697	1.0792369354268578	23.064128961557852	7.551346106325849	1.278703191278722	0.6438616258554122	1.0119186624877117	0.6082273660067945	0.9207884953295831	0.1703437386457138	0.29422747559356677	0.854780460306606	2.7624699712399767	0.19584705477276104	0.13162382455181712	0.9010351841569987	0.2029033956441897	0.9423374949268428	0.5815180013538649	0.2354368367951294	0.4592614140565696	0.0604682152824047	
ACSL3	O95573	1	51.638	4104000	963994	4562100	963994	4933600	3673200	963994	3683600	4118000	16	ACSL3	3	3nM;30nM;1000nM	1.0	0.23489132553606237	1.1116228070175438	0.23489132553606237	1.2021442495126706	0.8950292397660818	0.23489132553606237	0.8975633528265107	1.003411306042885	21.96859930026914	5.564795166315515	10.0	0.6879976341716876	0.9724902616094864	0.49928019927758427	0.7621020192195267	0.3652866061181833	0.076423373399646	159.71227786560877	38098.6177918973	0.20007612684233186	0.4900834097202526	0.75865992840006	0.38010244265500737	0.18621909301669876	0.9951622090556532	0.002106124524457667	0.12225558802314787	5.594906661760829e-07	
ACSL5	Q9ULC5;Q9UKU0	1	6.1713	36082000	34507000	29557000	31184000	29250000	25766000	23899000	35084000	34144000	5	ACSL5	0		1.0	0.9563494263067458	0.8191619089850896	0.8642536444764702	0.8106535114461504	0.7140956709716756	0.6623524194889419	0.972340779335957	0.9462890083698243	25.104775972597313	5.6657447149805416	10.0	0.81455201102206	0.960453214287843	0.23770851777449312	0.8562383910597599	0.10042940320451636	0.1996573840071979	28.597425133292727	1999.9437370535754	0.055007563086214344	0.1347401835457451	0.8539922953273101	0.11245437978555266	0.5710676681254625	0.798788192402151	0.09756836344641606	0.16482909513165114	0.0008516478337601477	
ACTA1;ACTC1;ACTG2;ACTA2	P68133;P68032;P63267;P62736	1	39.336	963994	6421700	24970000	963994	963994	963994	963994	963994	963994	22	ACTA1;ACTC1;ACTG2;ACTA2	7	DMSO;30nM;100nM;300nM;1000nM;3000nM;30000nM	1.0	6.661555984788287	25.902650846374563	1.0	1.0	1.0	1.0	1.0	1.0	19.87866464143439	7.652800730959818	10.0	13.819831635780046	0.9407532669043954	-3.8767798325945715	3.7422040005503163	6.342236681437267	0.33986744312112105	28.400084048080284	2184.7055226644998	6.016810139492297	3.8053524095749185	4.417763173119016	7.806000115771391	1.1584327897007658	0.4825696464773186	0.31643999859379357	1.0020165993940287	0.2579868862100577	
ACTB;ACTG1	P60709;P63261;A5A3E0;P0CG38;P0CG39;Q9BYX7	1	323.31	838950000	914770000	1084500000	779450000	924820000	1145400000	1098500000	1627200000	1600800000	35	ACTB;ACTG1	0		1.0	1.0903748733535967	1.2926872876810298	0.9290780141843972	1.1023541331426188	1.3652780261040587	1.3093748137552894	1.9395673162882174	1.9080994099767568	29.64400959014355	5.849171003608776	2.984083817833047	1.1444795190944939	1.9415322555580554	0.7624387497920935	1.408763933270203	0.12822315081669786	0.8639466426738668	0.20986403410165497	3.046591875747371	0.07133638959041316	0.17200904479645981	1.3907258156945266	0.3535429926509413	14.855433959494512	0.004759852761682446	2.3224064812664484	2.6455125811457325	0.7866364018046316	
ACTL6A	O96019;O94805	1	14.368	4524500	3749500	963994	3802800	3334200	4270100	3821100	5379900	963994	7	ACTL6A	2	10nM;30000nM	1.0	0.8287103547353298	0.2130608907061554	0.8404906619515968	0.7369212067631783	0.943772792573765	0.8445353077688142	1.1890595645927726	0.2130608907061554	22.109326938895304	4.801367479069313	4.470484542326115	0.8042135555909667	0.18109720814038258	-1.9056797297453396	0.7599935188878464	0.2502743582063203	0.36838181853765506	21059.032057287346	121018.05105307957	0.13730314839583577	9873.32540530265	0.7426949939219802	0.3152197584253857	1.319247542179914	0.4216242489409508	0.3750744194311825	0.9748581139405541	0.24773613338067005	
ACTN1	P12814;P35609	1	116.91	7395300	15371000	16254000	11397000	9404700	13237000	11378000	25557000	17030000	40	ACTN1	0		1.0	2.0784822792854922	2.1978824388462943	1.541113950752505	1.271713115086609	1.7899206252619908	1.538544751396157	3.455843576325504	2.302813949400295	22.81817724264357	5.793504004173636	10.0	1.6905488337171808	2.8794866281657225	0.7683199314560506	2.0682224319369844	0.44548283864829213	0.5726189571267335	7.003638630282316	334.77927864856036	0.2440015071838896	0.5976779460015865	2.0421905180941327	0.6944278217146602	3.217323676890982	0.11760158656100585	0.9295868191608825	1.2071763571882785	0.33438951274458434	
ACTN4	O43707;Q08043;Q9H254	1	323.31	98291000	112500000	155820000	111680000	112420000	133750000	127080000	218130000	179030000	51	ACTN4	0		1.0	1.1445605396221423	1.585292651412642	1.13621796502223	1.1437466299050778	1.360755308217436	1.292895585557172	2.2192265822913595	1.8214282080760191	26.550555986679726	5.789788615265866	10.0	1.2643594779111864	2.0202131980959654	0.6761008487459566	1.503759112503032	0.18492472350904718	0.754833775387906	4.3094439426411295	201.9329971070896	0.10128765301986234	0.24810255150996408	1.4873088779550208	0.38108013450215344	7.304878780869616	0.023536642125046865	1.6282554960628217	1.6834029806952509	0.5009039484047856	
ACTR3	P61158;Q9P1U1;Q9C0K3	1	45.636	3787000	2779600	5743100	3537500	963994	963994	4466800	7105000	8438900	14	ACTR3	2	100nM;300nM	1.0	0.7339846844467917	1.5165302350145233	0.9341167150778981	0.2545534724055981	0.2545534724055981	1.1795088460522842	1.8761552680221811	2.2283865856878795	21.852623990546505	5.800889810023788	2.724683617974002	0.772672702250964	2.12460318105677	1.458961580741026	1.2046359744596755	0.36660694661149945	0.6691327070277551	0.3508966771733903	3.7440535788069242	0.2046743994722814	0.494235602790295	1.1752586175377304	0.6408156803821142	4.6245994442045735	0.06011178150762573	1.221040400837467	2.361627517725073	0.7088149680281624	
ACVR1	Q04771	1	97.469	74416000	76416000	65220000	75930000	63381000	69651000	83014000	55545000	48747000	13	ACVR1	0		1.0	1.026875940657923	0.8764244248548699	1.0203450870780477	0.8517119974199097	0.9359680713824984	1.1155396688884112	0.7464120619221672	0.655060739625887	26.149109509186697	5.60230175711102	6.7693582123725475	0.9665442584551629	0.6821048914749638	-0.5028421574518485	0.8897866586829271	0.07673908932409938	0.6935946658604242	2.071967028066943	175.79546770907518	0.04203598032556581	0.10295635665816025	0.8940584014190498	0.14009771164001675	5.249137543097057	0.046786683040849215	1.329877743183934	1.0513034256847251	0.276525767497344	
ACVR1B	P36896	1	123.67	18841000	17891000	17842000	19581000	12935000	17109000	10747000	7572300	963994	13	ACVR1B	1	30000nM	1.0	0.9495780478743167	0.946977336659413	1.0392760469189533	0.6865346849954885	0.9080728199140173	0.5704049678891778	0.40190541903296	0.0511646940183642	24.167372203299927	5.726786348274709	0.7997071722476912	0.965961353420289	0.0001	-3.33773586018079	0.6624578704360706	0.0875686150066644	0.9225731991596996	0.4109120712134794	0.482627358545721	0.07256343826176506	0.2630326415930538	0.6774784920774253	0.3187676582868013	27.564948285282103	0.0010844108874441417	2.9648061307695524	13.551943057274766	2.229443088466013	down
ACVR2B	Q13705	1	81.047	10994000	9803900	12312000	10754000	8516300	9807200	12275000	9162700	963994	9	ACVR2B	1	30000nM	1.0	0.8917500454793523	1.1198835728579224	0.9781699108604693	0.7746316172457705	0.8920502092050209	1.116518100782245	0.8334273239949063	0.0876836456248863	23.39021304869985	5.071921398273816	1.9837360996273332	0.9625366837403858	0.03601226404190504	-3.1856789384511677	0.831390981054331	0.10558376375414498	0.8702342237652663	3.0327934676662034	11.003408418460083	0.06008626399372241	1.9425092363646383	0.8274514385468996	0.2943834416666517	15.241014358610698	0.00448249497912572	2.3484801882218234	8.589799915777808	1.7811203591472602	down
ADCK1	Q86TW2	1	98.751	26436000	20411000	22482000	21723000	18942000	22296000	25094000	21766000	17675000	19	ADCK1	0		1.0	0.7720910879104251	0.8504312301407172	0.8217203812982297	0.7165229232864276	0.8433953699500681	0.9492358904524134	0.8233469511272508	0.6685958541382963	24.656000565084128	5.049303274711681	2.6922279244217537	0.8352493325304	0.6676846964376111	-0.3097591568984784	0.8129430749036783	0.08086029868223264	0.3160769627533614	44.52098567488136	234.06291849867765	0.044943202521637554	3.457428544053567	0.8118314768904875	0.09898565853498556	1.1217579420553032	0.49791722087504686	0.3028428530342966	0.3022744854385999	0.018797523506065266	
ADCK3	Q8NI60	1	183.55	21334000	963994	963994	963994	963994	15231000	963994	963994	963994	14	ADCK3	7	3nM;10nM;30nM;100nM;1000nM;3000nM;30000nM	1.0	0.045185806693540824	0.045185806693540824	0.045185806693540824	0.045185806693540824	0.7139308146620418	0.045185806693540824	0.045185806693540824	0.045185806693540824	24.346651152118618	10.522878745280337	4.243829375085506	0.9999924572844122	0.12543505013691644	-3.272541748700064e-08	0.12543505020971013	0.20854172321490955	0.6328291096144278	6896370048.6900625	14636719403.524466	0.27978808155428836	0.11457108391727445	0.15907231504784702	0.35052631592586775	4.1067899214850225	0.07547852026521987	1.1221766226426262	1.458862197349005e-14	-0.0	
ADD1	P35611	1	12.28	1790500	963994	963994	2097700	963994	963994	963994	963994	1764500	5	ADD1	6	3nM;10nM;100nM;300nM;1000nM;3000nM	1.0	0.5383937447640323	0.5383937447640323	1.1715721865400726	0.5383937447640323	0.5383937447640323	0.5383937447640323	0.5383937447640323	0.9854789165037698	20.771931087982612	4.8730553336712745	3.516446926089964	0.650935165414704	1.0005737470718894	0.5920165640387005	0.6821597451202861	0.22836108558844875	0.14623558827914274	1595.7168141688126	7930.298222787519	0.125730350880363	374.41221996594527	0.6893914248276158	0.2479797422216415	0.4032045214836116	0.904088722539948	0.043788948043654664	0.24206778697322223	0.008180594946177976	
ADK	P55263	1	45.219	8371200	8302000	12465000	15109000	6305700	13515000	14600000	11970000	9247700	8	ADK	0		1.0	0.9917335626911316	1.4890338302752293	1.804878631498471	0.7532611811926605	1.614463876146789	1.7440749235474007	1.4299025229357798	1.1047042240061162	22.997003015272806	8.27771818454601	10.0	0.9934672730643386	1.4117829740557322	0.5048356972219832	1.3861283189479991	0.3055827300373322	0.24942402711221856	15.829903665110528	620.868512932883	0.4099822542589409	0.16737545951083646	1.3570210042490003	0.35410163622363494	0.7712090167518987	0.6749884139997981	0.17070368165658836	0.35625338672419066	0.031221521546880206	
ADRBK1	P25098;P35626	1	61.938	35603000	44949000	39623000	47348000	38686000	42929000	42074000	31817000	37747000	24	ADRBK1	0		1.0	1.262505968598152	1.112911833272477	1.329887930792349	1.0865938263629469	1.2057691767547678	1.1817543465438305	0.8936606465747269	1.0602196444119878	25.08549547570573	5.801225975722176	10.0	1.1844726423865786	0.9770236365871563	-0.2777795071758581	1.118174676881177	0.10019315455905456	0.3794121141312554	10.25932063149895	511.3788525552752	0.05487816518393277	0.13442322263461487	1.1227856770928983	0.127223828107195	1.37779999160747	0.40180824822710887	0.3959811523992387	0.2994804570049165	0.018223205465150126	
ADSL	P30566	1	45.634	963994	1932800	2036600	963994	963994	2038100	963994	3197600	2635400	7	ADSL	4	DMSO;30nM;100nM;1000nM	1.0	2.0049917323136865	2.1126687510503177	1.0	1.0	2.114224777332639	1.0	3.3170330935669723	2.7338344429529644	19.87866464143439	5.748775752043344	10.0	1.5105574719475496	3.0268655178301627	1.0027435032404064	1.9752668456420985	0.49371769130733634	0.6326004902207641	4.099141894797314	173.9546689627054	0.2704208760076233	0.6623917918766762	1.9434504938667827	0.8255245659692988	4.040499644843293	0.07782512190669931	1.1088801903580672	1.696792324537164	0.5053366079650786	
ADSS	P30520	1	20.375	963994	963994	963994	963994	963994	963994	963994	3530300	3434300	8	ADSS	7	DMSO;3nM;10nM;30nM;100nM;300nM;1000nM	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.6621597229858276	3.562574040917267	19.87866464143439	5.763139691859892	10.0	0.9987493962286634	3.615134587658962	1.8558547271901082	1.8099994897636922	0.026156828868128743	0.9994202296226449	0.1281657540445441	5.36877213952252	0.014326714876658875	0.03509306846515435	1.7545249244289904	1.100164995877691	3978.1615863590587	3.7059994190064214e-09	8.431094653101937	38.17535947665907	3.311768744661638	up
AGK	Q53H12	1	48.856	36861000	963994	30967000	49914000	29769000	36743000	28970000	32268000	38115000	9	AGK	1	3nM	1.0	0.026152139117224166	0.840102004828952	1.3541141043379181	0.8076015300724343	0.9967987846233146	0.7859255039201324	0.8753967608041019	1.0340196956132497	25.135591874503856	8.085947272862992	6.997620741976812	0.3617639393128295	0.9683619369877616	1.4183819849362729	0.9020932564583415	0.28715674241648204	0.2701806845784629	10.377022406502425	842.3303419982923	0.383016312269631	0.15767680957191288	0.8669100811155422	0.3362568471007388	0.8352243848996967	0.6384683972909548	0.19486059444100579	0.6053971379429174	0.10967332749761002	
AGPS	O00116	1	55.164	8310600	9190100	12405000	11292000	9591000	12348000	9875900	13249000	11716000	16	AGPS	0		1.0	1.1058287006954972	1.49267200924121	1.3587466608909105	1.154068298317811	1.4858132986787957	1.1883498183043342	1.5942290568671336	1.4097658412148342	22.986521208266403	8.420146677487779	4.754621840265063	1.005845270074251	1.3901798653434607	0.3376879392142008	1.3778408595899936	0.13333630306527816	0.5213585600270209	0.9527080853274933	42.371174516943384	0.17888942080881629	0.07315882011732751	1.3505622569137838	0.19696157120481284	2.659629266835326	0.16203938170994558	0.7903794226130553	0.4990707631640359	0.07318653707574992	
AHCY	P23526	1	322.46	23569000	23157000	33756000	25751000	35660000	29627000	32037000	61623000	50046000	21	AHCY	0		1.0	0.9825194110908396	1.4322202893631466	1.0925792354363784	1.5130043701472273	1.2570325427468285	1.359285502142645	2.614578471721329	2.1233824090966946	24.490387212547336	5.8122732960698755	7.072846366691904	1.2569620153341505	2.367583865056356	0.9134744765272877	1.6149694556019951	0.20896948202620527	0.8360061842022106	1.0086577393692546	36.96294475211734	0.11446569830967092	0.2803618998725956	1.588800640998443	0.5261502092111804	12.01383414919571	0.007785392768716568	2.1087194726291387	2.9208954149132818	0.8576282988269067	
AHNAK	Q09666	1	80.038	15336000	18077000	27698000	18150000	25079000	22439000	25022000	40431000	27809000	37	AHNAK	0		1.0	1.1787297861241524	1.8060772039645279	1.183489827856025	1.6353025560772039	1.4631585811163277	1.631585811163276	2.6363458528951487	1.8133150756390193	23.870418906330237	5.9289733146515395	6.856227306117998	1.438870909627031	2.220496848292803	0.6259453590482216	1.7136309065392659	0.30537937107526725	0.5567659354418266	4.280707198574488	410.1074796082483	0.16737187738268958	0.4091684328706085	1.692217407006139	0.46904499696327834	3.0580149982937033	0.1283925374334433	0.8914602180558071	0.9906626383031727	0.2537040672840938	
AHSA1	O95433	1	35.83	963994	963994	963994	4171500	963994	963994	963994	8647000	963994	9	AHSA1	7	DMSO;3nM;10nM;100nM;300nM;1000nM;30000nM	1.0	1.0	1.0	4.327309091135422	1.0	1.0	1.0	8.96997284215462	1.0	19.87866464143439	5.850843255087204	10.0	1.5472080196757592	5.0239725481579365	1.6991614032212754	2.701462995370695	2.1456392363786874	0.3141273482856285	30.32206603592734	2030.4658806403113	1.1752175397031137	2.8786769242647114	2.6100699477701825	2.614989945986495	1.0920208909282036	0.5107817752492751	0.29176460680775035	0.8023484983375794	0.18243496992448802	
AIFM1	O95831	1	115.04	9236300	963994	8220400	6788000	9075600	9615500	9577100	10717000	11105000	24	AIFM1	1	3nM	1.0	0.10437014821952513	0.8900100689670106	0.7349263233112826	0.982601258079534	1.0410554009722508	1.0368978920130356	1.1603131123934909	1.202321275835562	23.138883602709402	7.408384173298292	1.0224098649495925	0.5074115340333527	1.143143189112538	1.0535438745828842	0.9613617408416324	0.24082038209362638	0.40327518806432183	0.8483917259612632	1.7233299523026118	0.2838354801602782	0.21724116714326558	0.9294913505990993	0.3126462339216682	1.542297843606705	0.35208816974900964	0.4533485670884059	0.8859874673906585	0.21408891768512855	
AIFM2	Q9BRQ8	1	24.491	17257000	19006000	20543000	21331000	16815000	21279000	19914000	15526000	18616000	11	AIFM2	0		1.0	1.1013501767398737	1.1904154835718839	1.236078113229414	0.974387205192096	1.2330648432520137	1.153966506345251	0.8996928782523034	1.0787506519093701	24.04067834881511	5.808903789318181	10.0	1.1412824129619985	0.989189275044465	-0.2063373310305419	1.0923835168649356	0.09747540152934714	0.24691147506383582	15.511328843829252	806.4855369371185	0.05338958766680002	0.13077697423208628	1.095827334281295	0.11232537995516319	0.7377774494890276	0.6947528103382117	0.15816968778641768	0.1629412680848108	0.0007696115760605733	
AIMP1	Q12904	1	91.216	7825700	963994	9656000	10963000	12850000	8910700	11208000	10799000	9154800	16	AIMP1	1	3nM	1.0	0.1231831018311461	1.233883230893083	1.4008970443538598	1.642025633489656	1.138645744150683	1.432204147871756	1.379940452611268	1.1698378419821869	22.899788374578463	8.163529123961052	5.848187077662802	0.4255801379751991	1.3518920789758992	1.643026225369085	1.2685390352400958	0.2579769578133376	0.6056113231884879	1.5987828573761254	55.980620627251454	0.3460511368407161	0.14139154617430172	1.210196900547604	0.412853739262703	3.5125290641806037	0.10066639961545988	0.9971154638719754	2.049748087169933	0.6173001570332827	
AIMP2	Q13155	1	41.514	8442400	9564000	7197100	9920500	9918700	8360600	7141900	5734900	8271700	7	AIMP2	0		1.0	1.132853217094665	0.852494551312423	1.1750805458163556	1.1748673363024733	0.9903108120913484	0.8459561262200322	0.6792973562020279	0.9797806311001611	23.009221754974334	6.379831951535549	3.4475364143219265	1.070973856371502	0.8245864277009052	-0.3771804578744841	0.9565913722006569	0.1175735115986981	0.44591382172779326	0.7177517309204849	14.587731932429639	0.07160512572305411	0.11371863109850365	0.9651801073701244	0.1587589689289426	1.8524195991560737	0.27806576573856995	0.5558524763139071	0.4736151006594384	0.06498004280093539	
AK2	P54819	1	84.668	16690000	18448000	28487000	22268000	27425000	24279000	20614000	34881000	27817000	13	AK2	0		1.0	1.1053325344517675	1.7068304373876573	1.334212103055722	1.6431995206710606	1.4547034152186937	1.2351108448172559	2.0899340922708207	1.666686638705812	23.992480618912047	5.769027961321894	10.0	1.4037113539520558	1.8783910622682753	0.42025114511552314	1.5515917905493306	0.24224745340886353	0.43622285677657757	6.845029591955747	291.0272427704672	0.13268466970320558	0.32500906400846413	1.5414861501590083	0.3303115497891825	1.93322858849321	0.26220310408771047	0.5813621712264673	0.5375451099926497	0.08602454592717737	
